SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
523610,ITI LTD.    ,B ,Q,122.30,123.00,116.60,117.65,117.65,119.60,1134,115351,13700597.00,
523618,DREDGING COR,B ,Q,720.10,724.00,700.35,704.55,702.20,719.65,827,28391,20183529.00,
523620,PHARMASIA   ,XT,Q,50.00,50.00,48.25,48.25,48.25,49.20,4,115,5566.00,
523628,PODDAR      ,B ,Q,1080.00,1162.00,1080.00,1159.00,1159.00,1132.80,43,6241,7174897.00,
523630,NATIONAL FER,B ,Q,65.35,65.65,62.65,63.10,63.10,65.25,423,52454,3345812.00,
523638,IP RINGS LTD,X ,Q,192.60,192.60,180.00,181.25,181.25,188.45,82,5395,997727.00,
523642,PI INDUS.LTD,A ,Q,838.60,907.85,819.45,868.45,868.45,838.90,694,11981,10168126.00,
523648,PLASTIBLEND ,B ,Q,205.25,208.35,203.00,205.20,206.05,205.45,40,1057,216412.00,
523660,WATERBASE   ,X ,Q,317.00,334.80,302.00,323.35,323.35,312.90,5196,298325,94359967.00,
523672,FLEX FOODS  ,X ,Q,130.00,130.90,126.10,127.35,128.00,130.60,183,11843,1520489.00,
523676,GOLKUNDA DIA,XT,Q,16.10,16.10,16.00,16.00,16.00,16.10,2,100,1600.00,
523694,APCOTEX IND ,B ,Q,517.00,525.00,505.00,507.40,507.40,508.65,125,3307,1686940.00,
523696,FORTIS MLR  ,X ,Q,62.10,62.35,59.30,61.20,61.70,60.80,143,20995,1274066.00,
523704,MASTEK LTD  ,B ,Q,505.20,519.10,486.95,498.15,498.15,501.80,2034,72256,36438777.00,
523708,EIMCO ELECON,B ,Q,495.00,518.00,481.55,482.75,484.75,505.00,40,1021,497824.00,
523710,SAYAJI HOTEL,XT,Q,270.00,270.00,270.00,270.00,270.00,280.00,1,100,27000.00,
523712,JMG CORP LTD,P ,Q,1.31,1.31,1.31,1.31,1.31,1.37,1,100,131.00,
523716,ASHIANA HOU ,B ,Q,178.15,180.00,175.95,177.30,177.30,176.70,398,21441,3800757.00,
